article:ID;ee:string[];key:string;title:string
11069;http://doi.ieeecomputersociety.org/10.1109/69.109107|https://doi.org/10.1109/69.109107;journals/tkde/JensenMR91;Incremental Implementation Model for Relational Databases with Transaction Time.
11078;http://doi.ieeecomputersociety.org/10.1109/69.476497|https://doi.org/10.1109/69.476497;journals/tkde/GroseljM95;Combinatorial Optimization of Distributed Queries.
11082;http://doi.ieeecomputersociety.org/10.1109/69.667092|https://doi.org/10.1109/69.667092;journals/tkde/TsaiLW98;A Logic-Based Transformation System.
11089;http://doi.ieeecomputersociety.org/10.1109/69.567056|https://doi.org/10.1109/69.567056;journals/tkde/DiPippoW97;Object-Based Semantic Real-Time Concurrency Control with Bounded Imprecision.
11096;http://doi.ieeecomputersociety.org/10.1109/69.63254|https://doi.org/10.1109/69.63254;journals/tkde/MalvestutoM90;Query Evaluability in Statistical Databases.
11098;http://doi.ieeecomputersociety.org/10.1109/69.243518|https://doi.org/10.1109/69.243518;journals/tkde/WongW93;Design Guidelines for Object-Oriented Deductive Systems.
11100;http://doi.ieeecomputersociety.org/10.1109/69.591459|https://doi.org/10.1109/69.591459;journals/tkde/Ford97;Dismountable Media Management in Tertiary Storage Systems.
11105;http://doi.ieeecomputersociety.org/10.1109/69.334887|https://doi.org/10.1109/69.334887;journals/tkde/ZhangN94;PREPARE: A Toll for Knowledge Base Verification.
11109;http://doi.ieeecomputersociety.org/10.1109/69.404032|https://doi.org/10.1109/69.404032;journals/tkde/TsotrasGH95;Efficient Management of Time-Evolving Databases.
11110;http://doi.ieeecomputersociety.org/10.1109/69.729750|https://doi.org/10.1109/69.729750;journals/tkde/GruenwaldCH98;Effects of Update Techniques on Main Memory Database System Performance.
11125;http://doi.ieeecomputersociety.org/10.1109/69.63255|https://doi.org/10.1109/69.63255;journals/tkde/HuangC90;A New Methodology to Evaluate Locking Protocols.
11133;http://doi.ieeecomputersociety.org/10.1109/69.649313|https://doi.org/10.1109/69.649313;journals/tkde/LiD97;Boolean Similarity Measures for Resource Discovery.
11136;http://doi.ieeecomputersociety.org/10.1109/69.687977|https://doi.org/10.1109/69.687977;journals/tkde/CandanRS98;Collaborative Multimedia Systems: Synthesis of Media Objects.
11144;http://doi.ieeecomputersociety.org/10.1109/69.87986|https://doi.org/10.1109/69.87986;journals/tkde/Lenat89a;Correction to "Ontological Versus Knowledge Engineering".
11198;http://doi.ieeecomputersociety.org/10.1109/69.368513|https://doi.org/10.1109/69.368513;journals/tkde/GuessarianP95;Linearizing Some Recursive Logic Programs.
11212;http://doi.ieeecomputersociety.org/10.1109/69.91051|https://doi.org/10.1109/69.91051;journals/tkde/RamM91;A Model for Database Allocation Incorporating a Concurrency Control Mechanism.
11217;http://doi.ieeecomputersociety.org/10.1109/69.599932|https://doi.org/10.1109/69.599932;journals/tkde/PetrakisF97;Similarity Searching in Medical Image Databases.
11219;http://doi.ieeecomputersociety.org/10.1109/69.87980|https://doi.org/10.1109/69.87980;journals/tkde/ShenoyO89;Design and Implementation of a Semantic Query Optimizer.
11222;http://doi.ieeecomputersociety.org/10.1109/69.43419|https://doi.org/10.1109/69.43419;journals/tkde/BhargavaR89;A Model for Adaptable Systems for Transaction Processing.
11230;http://doi.ieeecomputersociety.org/10.1109/69.667095|https://doi.org/10.1109/69.667095;journals/tkde/BertinoJMR98;Advanced Transaction Processing in Multilevel Secure File Stores.
11240;http://doi.ieeecomputersociety.org/10.1109/69.250080|https://doi.org/10.1109/69.250080;journals/tkde/YoonK93;A Framework for Knowledge Discovery and Evolution in Databases.
11243;http://doi.ieeecomputersociety.org/10.1109/69.334866|https://doi.org/10.1109/69.334866;journals/tkde/DiehrS94;Estimating Block Accesses in Database Organizations.
11247;http://doi.ieeecomputersociety.org/10.1109/69.180609|https://doi.org/10.1109/69.180609;journals/tkde/CheungAA92;The Grid Protocol: A High Performance Scheme for Maintaining Replicated Data.
11249;http://doi.ieeecomputersociety.org/10.1109/69.334880|https://doi.org/10.1109/69.334880;journals/tkde/HarhalakisLMM94;Implementation of Rule-Based Information Systems for Integrated Manufacturing.
11254;http://doi.ieeecomputersociety.org/10.1109/69.536244|https://doi.org/10.1109/69.536244;journals/tkde/ChangGP96;Boolean Query Mapping Across Heterogeneous Information Sources.
11256;http://doi.ieeecomputersociety.org/10.1109/69.60795|https://doi.org/10.1109/69.60795;journals/tkde/Cooke90;Towards a Formalism to Produce a Programmer Assistant CASE Tool.
11257;http://doi.ieeecomputersociety.org/10.1109/69.91064|https://doi.org/10.1109/69.91064|https://www.wikidata.org/entity/Q57603454;journals/tkde/GuntherB91;Tree-Based Access Methods for Spatial Databases: Implementation and Performance Evaluation.
11272;http://doi.ieeecomputersociety.org/10.1109/69.706061|https://doi.org/10.1109/69.706061;journals/tkde/ShekharRKCT98;Declustering and Load-Balancing Methods for Parallelizing Geographic Information Systems.
11276;http://doi.ieeecomputersociety.org/10.1109/69.591453|https://doi.org/10.1109/69.591453;journals/tkde/QianL97;A Semantic Framework of the Multilevel Secure Relational Model.
11278;http://doi.ieeecomputersociety.org/10.1109/69.368522|https://doi.org/10.1109/69.368522;journals/tkde/ChenBT95;On the Reliability of AI Planning Software in Real-Time Applications.
11286;http://doi.ieeecomputersociety.org/10.1109/69.149929|https://doi.org/10.1109/69.149929;journals/tkde/Pasik92;A Source-to-Source Transformation for Increasing Rule-Based System Parallelism.
11294;http://doi.ieeecomputersociety.org/10.1109/69.334879|https://doi.org/10.1109/69.334879;journals/tkde/ChenP94;Performance Evaluation of Rule Grouping on a Real-Time Expert System Architecture.
11299;http://doi.ieeecomputersociety.org/10.1109/69.485644|https://doi.org/10.1109/69.485644;journals/tkde/Hanson96;The Design and Implementation of the Ariel Active Database Rule System.
11324;http://doi.ieeecomputersociety.org/10.1109/69.738362|https://doi.org/10.1109/69.738362;journals/tkde/AnkerstKS98;A Multistep Approach for Shape Similarity Search in Image Databases.
11325;http://doi.ieeecomputersociety.org/10.1109/69.469823|https://doi.org/10.1109/69.469823;journals/tkde/LiuRW95;Critics for Knowledge-Based Design Systems.
11327;http://doi.ieeecomputersociety.org/10.1109/69.687976|https://doi.org/10.1109/69.687976;journals/tkde/JingHR98;Hierarchical Encoded Path Views for Path Query Processing: An Optimal Model and Its Performance Evaluation.
11329;http://doi.ieeecomputersociety.org/10.1109/69.729739|https://doi.org/10.1109/69.729739;journals/tkde/CheeLTR98;Adaptive Prefetching and Storage Reorganization In A Log-Structured Storage System.
11334;http://doi.ieeecomputersociety.org/10.1109/69.88006|https://doi.org/10.1109/69.88006;journals/tkde/Vidyasankar91;A Non-Two Phase Locking Protocol for Global Concurrency Control in Distributed Heterogeneous Database Systems.
11339;http://doi.ieeecomputersociety.org/10.1109/69.50903|https://doi.org/10.1109/69.50903;journals/tkde/BoralACCDFHSV90;Prototyping Bubba, A Highly Parallel Database System.
11343;http://doi.ieeecomputersociety.org/10.1109/69.382304|https://doi.org/10.1109/69.382304;journals/tkde/FrasconiGMS95;Unified Integration of Explicit Knowledge and Learning by Example in Recurrent Networks.
11345;http://doi.ieeecomputersociety.org/10.1109/69.75886|https://doi.org/10.1109/69.75886;journals/tkde/MaysLDW91;A Persistent Store for Large Shared Knowledge Bases.
11346;http://doi.ieeecomputersociety.org/10.1109/69.404028|https://doi.org/10.1109/69.404028;journals/tkde/PangCL95;Multiclass Query Scheduling in Real-Time Database Systems.
11350;http://doi.ieeecomputersociety.org/10.1109/69.404030|https://doi.org/10.1109/69.404030;journals/tkde/ChomickiT95;Implementing Temporal Integrity Constraints Using an Active DBMS.
11361;http://doi.ieeecomputersociety.org/10.1109/69.204092|https://doi.org/10.1109/69.204092;journals/tkde/MoldovanLL93;Parallel Knowledge Processing in SNAP.
11369;http://doi.ieeecomputersociety.org/10.1109/69.536251|https://doi.org/10.1109/69.536251;journals/tkde/Widom96;The Starburst Active Database Rule System.
11376;http://doi.ieeecomputersociety.org/10.1109/69.494165|https://doi.org/10.1109/69.494165;journals/tkde/BotzerE96;Optimization of Materialization Strategies for Derived Data Elements.
11378;http://doi.ieeecomputersociety.org/10.1109/69.599937|https://doi.org/10.1109/69.599937;journals/tkde/GriffinLT97;An Improved Algorithm for the Incremental Recomputation of Active Relational Expressions.
