:START_ID;:END_ID;year
363277;363807;1994
363277;11055;1998
363277;12088;1993
363277;11069;1991
363277;363854;1991
363277;11602;1998
363277;363864;1997
363277;11109;1995
363277;14190;1996
363277;610670;2000
363277;12150;1994
363277;301477;2000
363277;14273;1995
363277;610758;1994
363277;13779;1991
363277;363475;1992
363277;610774;1996
363277;817114;1992
363277;13295;1996
363277;610294;1994
897363;14273;1995
897363;10926;1997
481170;14355;1991
481170;14383;1993
481170;14406;1991
481170;14443;1995
481170;12432;1997
481170;12447;1992
481170;710860;1984
481170;610547;1996
481170;710928;1979
481170;12599;1994
481170;610712;1997
481170;610749;1995
481170;711104;1976
481170;301516;1999
481170;610774;1996
481170;817637;1999
481170;610843;1994
481170;12845;1995
481170;711235;1988
481170;711255;1976
481170;817784;1999
481170;610953;1993
481170;610966;1993
481170;711320;1991
481170;10926;1997
481170;363205;1979
481170;363206;1993
481170;363208;1986
481170;711368;1983
481170;363217;1976
481170;363235;1986
481170;11001;1989
481170;363258;1981
481170;363260;1987
481170;711422;1987
481170;363264;1977
481170;363267;1988
481170;363270;1981
481170;363271;1978
481170;363277;1987
481170;363300;1976
481170;363301;1982
481170;363310;1993
481170;13105;1994
481170;363331;1979
481170;363352;1980
481170;363365;1978
481170;363369;1982
481170;363370;1981
481170;363379;1987
481170;363383;1997
481170;363388;1988
481170;363391;1993
481170;13186;1992
481170;363405;1984
481170;363419;1980
481170;363428;1982
481170;363429;1983
481170;363432;1987
481170;363433;1985
481170;363472;1980
481170;363476;1976
481170;13273;1990
481170;363482;1977
481170;363487;1995
481170;363500;1981
481170;13295;1996
481170;363507;1989
481170;363517;1986
481170;13319;1993
481170;363535;1978
481170;363545;1976
481170;363550;1982
481170;13360;1997
481170;363569;1986
481170;363574;1979
481170;363576;1986
481170;711737;1992
481170;363595;1978
481170;363599;1986
481170;363603;1990
481170;711769;1986
481170;363611;1983
481170;363613;1976
481170;363629;1981
481170;363633;1991
481170;363643;1982
481170;11391;1991
481170;13445;1992
481170;480392;1992
481170;363659;1979
481170;363660;1983
481170;363662;1979
481170;363677;1987
481170;11423;1991
481170;363687;1976
481170;363699;1977
481170;363705;1992
481170;363706;1982
481170;363710;1990
481170;11459;1993
481170;363729;1979
481170;363769;1984
481170;363777;1978
481170;363780;1981
481170;363787;1976
481170;363790;1979
481170;363792;1983
481170;363817;1992
481170;11574;1993
481170;363830;1979
481170;363837;1978
481170;363856;1984
481170;363859;1981
481170;363864;1997
481170;363869;1979
481170;363891;1981
481170;363895;1983
481170;363901;1976
481170;363911;1984
481170;363921;1982
481170;363931;1978
481170;363950;1981
481170;363955;1981
481170;363957;1979
481170;482750;1995
481170;363977;1989
481170;363984;1986
481170;710103;1996
481170;364001;1980
481170;364002;1991
481170;364006;1982
481170;364013;1989
481170;364021;1990
481170;364030;1984
481170;364034;1993
481170;364035;1976
481170;13832;1994
481170;364049;1982
481170;364064;1979
481170;13868;1989
481170;13870;1994
481170;13871;1995
481170;364081;1984
481170;11855;1995
481170;11857;1990
481170;364122;1978
481170;364125;1979
481170;364130;1988
481170;710250;1987
481170;364140;1995
481170;364147;1986
481170;364150;1986
481170;364172;1977
481170;364183;1989
481170;11990;1993
481170;710376;1996
481170;14070;1995
481170;710450;1984
481170;14166;1993
481170;710512;1979
481170;300948;1999
481170;710552;1985
481170;710567;1996
481170;710619;1976
481170;14324;1991
759758;10926;1997
363997;12432;1997
363997;13841;1993
363997;363798;1991
363997;10926;1997
363997;14383;1993
363997;363315;1989
363997;610749;1995
363997;363206;1993
363997;364110;1992
363997;12115;1996
363997;11990;1993
363997;300888;1999
363997;11096;1990
363997;12394;1992
363997;364140;1995
363997;363379;1987
363997;12407;1990
363997;711676;1993
363807;14273;1995
363807;363617;1999
363807;820327;2000
363807;10926;1997
363807;14354;1997
363807;610774;1996
363807;363864;1997
363807;363294;1995
541967;11533;1993
541967;363924;1988
541967;363683;1993
541967;10926;1997
541967;364110;1992
541967;11990;1993
541967;12394;1992
541967;363388;1988
541967;11519;1995
12835;10926;1997
542536;12835;1994
542536;10926;1997
1362851;10926;1997
1840522;10932;1996
1840709;10932;1996
1840709;12631;1993
971725;10932;1996
1840946;10953;1993
1840946;10932;1996
1840946;12631;1993
1840946;14175;1993
32558;10932;1996
32558;487541;1996
32558;11608;1995
32558;817211;1995
1840283;10932;1996
360585;11499;1997
360585;363277;1987
360585;13779;1991
360585;363475;1992
360585;10935;1995
360585;12956;1997
711093;610193;1995
711093;14099;1997
711093;610837;1996
711093;363423;1995
711093;13871;1995
711093;10935;1995
711093;363200;1996
711093;301516;1999
711093;11867;1998
711093;610911;1995
711093;12394;1992
711093;710250;1987
711093;364017;1998
711093;610545;1995
363687;610358;1996
363687;12346;1992
363687;12447;1992
363687;14515;1993
363687;14519;1992
363687;710973;1987
363687;610712;1997
363687;12786;1996
363687;610822;1993
363687;711235;1988
363687;610935;1995
363687;711320;1991
363687;711323;1990
363687;10935;1995
363687;711368;1983
363687;363235;1986
363687;11001;1989
363687;363260;1987
363687;11029;1996
363687;363306;1998
363687;363313;1997
363687;13109;1992
363687;363350;1984
363687;363367;1989
363687;363370;1981
363687;363419;1980
363687;363432;1987
363687;363479;1992
363687;363500;1981
363687;711676;1993
363687;363537;1981
363687;820248;2000
363687;363555;1992
363687;820260;1999
363687;13355;1990
363687;363581;1987
363687;820311;2000
363687;711769;1986
363687;11381;1989
363687;363646;1984
363687;363677;1987
363687;363710;1990
363687;11476;1994
363687;363745;1977
363687;363751;1984
363687;11511;1993
363687;11541;1994
363687;363798;1991
363687;363830;1979
363687;11580;1991
363687;363837;1978
363687;363852;1982
363687;363891;1981
363687;363895;1983
363687;13707;1996
363687;363921;1982
363687;363935;1988
363687;363936;1988
363687;363950;1981
363687;363955;1981
363687;482750;1995
363687;710126;1986
363687;364105;1985
363687;11855;1995
363687;364118;1985
363687;710250;1987
363687;364181;1989
363687;364183;1989
363687;11997;1994
363687;489182;1995
363687;710376;1996
363687;14070;1995
363687;489237;1992
363687;710512;1979
363687;12182;1991
363687;610262;1995
760013;10935;1995
543189;10935;1995
760906;10935;1995
710628;610958;1996
710628;711335;1991
710628;610479;1995
710628;10935;1995
710628;610758;1994
