:ID;author:string
6778979;Stefano Ceri
6779126;Larry M. Stephens
6779125;Michael N. Huhns
6777890;Munindar P. Singh
6779124;Stefano Paraboschi
6779140;Elena Baralis
6774068;Simon Parsons
6777303;Ming-Syan Chen
6779152;Jong Soo Park
6779161;Robert M. O'Keefe
6779160;Sunro Lee
6779162;Hyunchul Kang
6777501;Subhash Bhalla
6777500;P. Krishna Reddy
6779171;Kerttu Pollari-Malmi
6754197;Eljas Soisalon-Soininen
6779172;Tatu Ylönen
6779181;Manfred J. Schauer
6779180;Thomas A. Mück
6779189;Budi Yuwono
6778026;Dik Lun Lee
6779190;Heidi Gregersen
6779206;Sanja Vranes
6779207;Mladen Stanojevic
6779210;Venkat N. Gudivada
6779240;Robin R. Kladke
6779236;Avelino J. Gonzalez
6779238;Frederic D. McKenzie
6779237;Harley R. Myler
6779239;Massood Towhidnejad
6777904;Ling Liu 0001
6779255;Wei Tang 0005
6777386;Albert Mo Kim Cheng
6779257;Blaz Zupan
6779273;Frederick Hayes-Roth
6777527;Maurizio Tucci
6777528;Genoveffa Tortora
6771659;Filomena Ferrucci
6778069;Gennaro Costagliola
6777317;Peter L. Hammer
6777319;Alexander Kogan
6779278;Ibrahim H. Önyüksel
6779279;Gerhard Weikum
6779277;Peter Zabback
6755738;Peter Scheuermann
6779281;Hyoung-Joo Kim
6779282;Lawrence J. Henschen
6779280;Cheong Youn
6779288;Beat Wüthrich
6779293;Roger G. Johnson
6779321;Nabil R. Adam
6779328;Markian M. Gooley
6777476;Benjamin W. Wah
6779339;Sunil S. Nair
6779338;Shashi K. Gadia
6754399;Fereidoon Sadri
6779354;Howard J. Hamilton
6779353;Colin L. Carter
6768186;Qiang Li
6779370;Richard Nartey
6779369;Prashant Cherukuri
6779368;Ramamohanrao S. Jawadi
6778755;Yuan Yan Tang
6779375;Chang De Yan
6779376;Ching Y. Suen
6779380;Rajiv Jauhari
6777428;Chiang Lee
6779385;Chau M. Hua
6778323;Kien A. Hua
6779399;Soon J. Hyun
6779400;Hsin-Hsing M. Chen
6779403;Deb Dutta Ganguly
6777380;Sanjay Ranka
6779404;Chilukuri K. Mohan
6779408;Liwu Li 0001
6777809;H. V. Jagadish
6779425;Goetz Graefe
6779426;Franz G. Amador
6779427;Deborah Berman
6774532;David Notkin
6779429;Tony DeRose
6779431;Dorothy Neville
6779432;David Salesin
6779430;Adam Finkelstein
6779437;Georges Winkenbach
6779433;Michael Salisbury
6779434;Joe Sherman
6779428;Alan Borning
6779435;Ying Sun
6779436;Daniel S. Weld
6779440;Terry D. Escamilla
6779457;Jorge F. Garza
6779459;Darrell Woelk
6779458;Nat Ballou
6779480;Qiming Chen
6779481;Kikuo Fujimura
6754199;Pankaj Jalote
6779489;Christopher P. Firth
6779488;Richard Y. Wang
6769061;Bhavani M. Thuraisingham
6779491;Paul D. Stachour
6779515;Giovanna Guerrini
6779521;Berend Wierenga
6779522;Arco Dalebout
6779520;Soumitra Dutta
6766018;Se June Hong
6779546;Yoshikane Takahashi
6754688;Jane W.-S. Liu
6779575;Xiohui Song
6779577;Santanu Paul
6779576;Jeffrey R. Bach
6778333;Ramesh Jain
6779589;James K. Archibald
6779588;Knuth Stener Grimsrud
6779590;Brent E. Nelson
6779591;Vijayalakshmi Atluri
6777372;Paul Ammann
6779600;John C. Shafer
6754356;Satish K. Tripathi
6779626;Deron Liang
6771889;Win-Tsung Lo
6763859;Ruey-Kai Sheu
6775246;Kai-Chih Liang
6763861;Shyan-Ming Yuan
6779627;Jun-Tae Kim
6779628;Geoffrey I. Webb
6779629;Zijian Zheng
6779638;M. Susan Bloor
6776028;Alan de Pennington
6776027;Alison McKay
6779639;Tzong-An Su
6777471;Gultekin Özsoyoglu
6777430;Anne H. H. Ngu
6779655;Mohammad Nabil
6779656;John Shepherd
6779660;W. Kevin Wilkinson
6779662;Waqar Hasan
6779661;Peter Lyngbæk
6779706;Sungwon Jung
6778407;Sakti Pramanik
6779708;Ravi Mukkamala
6779728;Eileen Tien Lin
6779741;Aladdin Hafez
6756093;Djemel Ziou
6779742;Wentao Fan
6779743;Nizar Bouguila
6779777;Shu-Ching Wang
6779776;Kuo-Qin Yan
6779792;W. Kent Fuchs
6779791;Aloke Gupta
6779813;T. C. Ting
6779846;Jieting Wang
6777949;Yuhua Qian
6779845;Bing Liu
6777948;Jiye Liang
6779844;Hang Xu
6777857;Luca Console
6779847;Luigi Portinale
6779469;Daniele Theseider Dupré
6779863;Peter M. G. Apers
6779864;Carel A. van den Berg
6759807;Paul W. P. J. Grefen
6779866;Martin L. Kersten
6779865;Jan Flokstra
6779867;Annita N. Wilschut
6779869;Wee Teck Ng
6779868;Toby J. Teorey
6779870;Adegbeniga Ola
6779871;Sudipto Guha
6777410;Kyuseok Shim
6779876;William R. Ford
6779877;Darrell Conklin
6779879;Janice I. Glasgow
6779878;Suzanne Fortier
6779882;Anthony Tomasic
6779248;Louiqa Raschid
6779898;Fehime Nihan Kesim
6765555;Marek J. Sergot
6779904;P. G. Reddy
6779903;Bandreddi E. Prasad
6779902;M. P. Reddy
6776280;Amar Gupta
6779916;Toshiro Wakayama
6779915;Tadao Murata
6777387;Jeng-Rung Chen
6779923;Gabriel Matsliach
6753655;Oded Shmueli
6779930;Claudine M. Breant
6779929;Roger Barker
6779928;Ion Tim Ieong
6779941;Silvano Mussi
6754739;Danilo Montesi
6779942;Maurizio Martelli
6778352;Mohamed F. Mokbel
6779948;James M. Kang
6779949;Tian Xia
6779570;Donghui Zhang
6779950;John D. N. Dionisio
6779955;Vasant Dhar
6779954;Albert Croker
6779966;Frank Shou-Cheng Tseng
6777981;Arbee L. P. Chen
6779965;Jui-Shang Chiu
6762214;Lotfi A. Zadeh
6777728;Zhixu Li
6777729;An Liu 0002
6779260;Yan Wang 0002
6777613;Xiaofang Zhou
6777730;Kai Zheng 0001
6762899;Guanfeng Liu
6776003;Yi Liu
6779985;N. Natarajan
6779984;Jian Tang 0001
6780000;Harumi A. Kuno
6780008;Linda Sirounian
6780009;William I. Grosky
6780025;Max J. Egenhofer
6780026;Weidong Chen 0005
6780027;David Scott Warren
6780030;Rok Sosic
6780031;Jun Gu
6754353;Alistair Moffat
6780042;Neil Sharman
6780068;David M. Dilts
6780069;Wenhua Wu
6780083;Yutaka Sasaki
6780084;Keiko Nakata 0002
6780085;Yoshimi Fukuhara
6780086;Shiuh-Pyng Shieh
6780087;Virgil D. Gligor
6780098;Alexander Thomasian
6778096;Amr El Abbadi
