:START_ID;:END_ID;pages:string;volume:string;year:int;Column1
12082;9046536;479-496;6;1994;12082
12086;9046536;709-717;9;1997;12086
12088;9046536;644-657;5;1993;12088
12099;9046536;923-940;9;1997;12099
12101;9046536;784-797;9;1997;12101
12105;9046536;983-999;22;2010;12105
12106;9046536;746-767;10;1998;12106
12108;9046536;740-752;5;1993;12108
12115;9046536;273-284;8;1996;12115
12120;9046536;89-100;1;1989;12120
12121;9046536;1050-1064;30;2018;12121
12127;9046536;309-321;5;1993;12127
12136;9046536;768-792;10;1998;12136
12140;9046536;82-105;7;1995;12140
12150;9046536;86-95;6;1994;12150
12151;9046536;742-757;8;1996;12151
12154;9046536;661-668;6;1994;12154
12163;9046536;302-313;9;1997;12163
12182;9046536;237-245;3;1991;12182
12192;9046536;44-52;7;1995;12192
12193;9046536;661-667;9;1997;12193
12200;9046536;332-339;7;1995;12200
12204;9046536;805-818;6;1994;12204
12212;9046536;25-43;2;1990;12212
12222;9046536;368-381;27;2015;12222
12225;9046536;185-191;4;1992;12225
12234;9046536;210-219;2;1990;12234
12246;9046536;307-319;3;1991;12246
12247;9046536;410-420;9;1997;12247
12257;9046536;100-107;3;1991;12257
12272;9046536;208-220;3;1991;12272
12287;9046536;990-1004;9;1997;12287
12294;9046536;517-528;4;1992;12294
12306;9046536;681-697;6;1994;12306
12311;9046536;848-862;9;1997;12311
12314;9046536;534-548;6;1994;12314
12315;9046536;195-210;8;1996;12315
12319;9046536;911-922;8;1996;12319
12322;9046536;987-990;5;1993;12322
12323;9046536;161-168;5;1993;12323
12325;9046536;322-338;5;1993;12325
12337;9046536;311-319;2;1990;12337
12343;9046536;1008-1010;7;1995;12343
12344;9046536;1797-1802;22;2010;12344
12346;9046536;382-398;4;1992;12346
12352;9046536;305-317;7;1995;12352
12355;9046536;173-178;9;1997;12355
12359;9046536;376-386;1;1989;12359
12371;9046536;723-737;6;1994;12371
12372;9046536;190-192;7;1995;12372
12376;9046536;91-108;2;1990;12376
12382;9046536;798-812;9;1997;12382
12383;9046536;686-705;10;1998;12383
12388;9046536;1-3;7;1995;12388
12392;9046536;882-887;5;1993;12392
12394;9046536;223-237;4;1992;12394
12399;9046536;824-828;7;1995;12399
12404;9046536;108-117;3;1991;12404
12407;9046536;401-409;2;1990;12407
12431;9046536;238-252;4;1992;12431
12432;9046536;464-479;9;1997;12432
12439;9046536;391-405;7;1995;12439
12441;9046536;446-454;8;1996;12441
12443;9046536;410-424;2;1990;12443
12444;9046536;564-573;5;1993;12444
12447;9046536;34-51;4;1992;12447
12450;9046536;384-390;9;1997;12450
12462;9046536;507-508;4;1992;12462
12465;9046536;551-562;10;1998;12465
12477;9046536;99-102;4;1992;12477
12484;9046536;863;10;1998;12484
12487;9046536;587-608;6;1994;12487
12498;9046536;654-659;6;1994;12498
12500;9046536;639-643;6;1994;12500
12501;9046536;344-359;4;1992;12501
12510;9046536;248-257;6;1994;12510
12533;9046536;905-925;10;1998;12533
12539;9046536;476-491;8;1996;12539
12545;9046536;763-785;7;1995;12545
12551;9046536;914-925;5;1993;12551
12556;9046536;955-967;7;1995;12556
12562;9046536;317-335;4;1992;12562
12569;9046536;439-450;5;1993;12569
12570;9046536;625-639;9;1997;12570
12577;9046536;444-460;3;1991;12577
12579;9046536;415-423;4;1992;12579
12584;9046536;104-121;5;1993;12584
12589;9046536;321-334;23;2011;12589
12591;9046536;939-945;8;1996;12591
12599;9046536;136-151;6;1994;12599
12601;9046536;640-642;9;1997;12601
12606;9046536;48-54;3;1991;12606
12614;9046536;189-201;20;2008;12614
12618;9046536;123-134;4;1992;12618
12621;9046536;1363-1380;19;2007;12621
12624;9046536;834-838;7;1995;12624
12631;9046536;939-949;5;1993;12631
12632;9046536;21-37;10;1998;12632
12642;9046536;81-95;8;1996;12642
12644;9046536;273-282;2;1990;12644
12647;9046536;656-668;7;1995;12647
12649;9046536;956-977;9;1997;12649
12650;9046536;523-530;5;1993;12650
12656;9046536;328-331;7;1995;12656
12660;9046536;363-367;5;1993;12660
12665;9046536;179-183;8;1996;12665
12684;9046536;524-538;9;1997;12684
12697;9046536;1039-1055;5;1993;12697
12704;9046536;148-160;9;1997;12704
12705;9046536;513-523;9;1997;12705
12716;9046536;675-687;9;1997;12716
12720;9046536;318-328;1;1989;12720
12722;9046536;416-425;5;1993;12722
12727;9046536;316-330;6;1994;12727
12735;9046536;156-161;4;1992;12735
12741;9046536;301-316;16;2004;12741
12758;9046536;1507-1518;30;2018;12758
12772;9046536;458-476;10;1998;12772
12777;9046536;477-492;10;1998;12777
12786;9046536;503-507;8;1996;12786
12793;9046536;508-511;8;1996;12793
12805;9046536;52-64;5;1993;12805
